transaction_id,user_id,name,card_number,cvv,exp_date,state,city,zip_code
27145,2719860,jane,745413000000000,272,6/7/2020,alabama,colombia,57550
47104,1677208,myah,972624000000000,509,7/8/2021,delware,atlanta,62237
45313,1984604,monte,907832000000000,204,10/9/2022,alabama,montgomery,32141
611,9359566,chris,805806000000000,538,2/18/2024,louisiana,cheyenne,44885
79222,2368501,john,853516000000000,243,6/28/2024,alabama,detroit,72945
51566,2083984,iman,812190000000000,217,11/18/2023,florida,dover,48504
79050,7031644,monte,682487000000000,404,12/12/2023,california,houston,57094
73838,7285476,jane,880227000000000,806,6/30/2024,georgia,cheyenne,79234
77363,1627963,iman,612754000000000,752,4/21/2020,louisiana,atlanta,70652
46153,3953223,john,691651000000000,374,6/16/2020,alabama,cheyenne,38347
16588,2402681,megan,917691000000000,362,11/2/2020,georgia,colombia,65695
14879,7816075,iman,875355000000000,295,10/9/2024,texas,colombia,54637
69462,5869074,megan,853505000000000,710,3/9/2020,louisiana,houston,37200
73886,2203052,iman,999244000000000,223,11/5/2024,texas,miami,76351
19244,9561712,megan,957650000000000,503,7/7/2021,wyoming,colombia,51181
63821,6076416,erica,689904000000000,843,1/15/2020,michigan,cheyenne,59708
87495,5656943,myah,695424000000000,439,7/5/2020,alabama,houston,76785
77329,1620540,iman,968040000000000,675,1/14/2023,florida,cheyenne,30591
81773,5545115,myah,896210000000000,861,6/29/2020,florida,cheyenne,72069
50024,3645200,ty,786765000000000,806,11/26/2021,south carolina,atlanta,53021
37419,148171,ty,748931000000000,439,1/27/2023,south carolina,new orleans,82089
40071,9035777,megan,975086000000000,552,4/15/2024,georgia,new orleans,72560
21640,8952720,monte,789927000000000,658,12/2/2024,florida,houston,46742
74079,2501263,monte,664917000000000,162,5/23/2020,south carolina,dover,61158
43165,9169947,matt,560337000000000,154,8/4/2020,louisiana,colombia,56021
49481,3620156,john,700025000000000,359,7/7/2023,louisiana,colombia,49236
32326,9836035,matt,576186000000000,489,5/14/2021,south carolina,new orleans,62371
79875,7170594,matt,539648000000000,827,6/13/2020,south carolina,cheyenne,39966
75862,5367519,myah,869597000000000,796,12/1/2024,south carolina,cheyenne,88858
61765,3922766,erica,820765000000000,192,2/27/2021,wyoming,colombia,44028
14093,6441601,iman,764288000000000,758,4/7/2022,florida,los angeles,67477
